id,created_at,text
845175729885081601,2017-03-24 07:29:31,b'@Nites ~spawn npc.alien'
845172927892897792,2017-03-24 07:18:23,b'Where are the #%*&gt; aliens? https://t.co/FDuJIdwgrN'
844970083000578048,2017-03-23 17:52:21,b'@wouterhuijs Looks like Tues/Wed for 8.1 release'
844668567983312896,2017-03-22 21:54:14,"b""@x17online Except that isn't actually my house ..."""
844360899603288064,2017-03-22 01:31:40,"b'@karaswisher Perhaps there will be some future bill that makes a difference for Mars, but this is not it.'"
844360665900838912,2017-03-22 01:30:44,b'@karaswisher I am not. This bill changes almost nothing about what NASA is doing. Existing programs stay in place a\xe2\x80\xa6 https://t.co/RXn1LlD6qa'
844358371616567296,2017-03-22 01:21:37,"b""RT @ryanrossuk: @elonmusk Hope you like my Model X customer story. You're something of a hero of mine. Never give up and thank you! https:/\xe2\x80\xa6"""
843504884154417153,2017-03-19 16:50:10,b'RT @SpaceX: Recovery teams en route to Dragon. https://t.co/5aiGcX0vS2'
842447592172675072,2017-03-16 18:48:52,"b""RT @SpaceX: More photos from today's Falcon 9 launch \xe2\x86\x92 https://t.co/095WHWMtKp https://t.co/O2RkVlZnak"""
842400698025172992,2017-03-16 15:42:32,b'RT @SpaceX: Successful deployment of @EchoStar XXIII to a Geosynchronous Transfer Orbit confirmed. https://t.co/LpPWLo8YMN'
842400673043898368,2017-03-16 15:42:26,b'RT @SpaceX: Back live for final burn and satellite deployment \xe2\x86\x92 https://t.co/gtC39uBC7z https://t.co/8FtMsb9ITp'
842392886494683136,2017-03-16 15:11:29,b'RT @SpaceX: Liftoff! https://t.co/gtC39uBC7z https://t.co/serafPcpy2'
842233727115702272,2017-03-16 04:39:03,"b'@CapnJesus @Lurpatron @MKBHD @jakerawr 3 is a great car, but definitely Model S'"
841565055552389120,2017-03-14 08:21:59,b'@kyleugh Good point'
841564430399807489,2017-03-14 08:19:30,"b""@PriyancaFord I wish. It's so annoying."""
841563925707546626,2017-03-14 08:17:30,"b'Finally, an explanation for daylight savings that makes sense ... https://t.co/kGpJHNgRJO'"
841098180573851648,2017-03-13 01:26:47,b'@AndreElijah Ok'
841041891747545089,2017-03-12 21:43:07,"b""@BizbuilderUSA @mcannonbrookes It's been a bear to get done, but prob 10 days or so, depending on full speed autosteer test results"""
841041532140445696,2017-03-12 21:41:41,"b""@Legit_bacon @mcannonbrookes Looking forward to it. I know it's cliche, but LotR is my favorite book ever :) Want t\xe2\x80\xa6 https://t.co/uchiQ8P3yb"""
841041070792228864,2017-03-12 21:39:51,b'@5AllanLeVito @mcannonbrookes @VGroysman Sure. Just check out my prior tweet on pricing ($250 kWh at pack level). W\xe2\x80\xa6 https://t.co/eJ1uXKHrpR'
841040566867509248,2017-03-12 21:37:51,"b'.@mcannonbrookes Can only happen with your support, and working closely with key govt and utility leaders who are s\xe2\x80\xa6 https://t.co/AlfAGI0kLB'"
841039231694786560,2017-03-12 21:32:33,"b'Just wanted to write a note of appreciation to the many Australians who came out in support of the battery plan, especially @mcannonbrookes'"
841011061935362048,2017-03-12 19:40:37,b'@ah_pton16 I love Wikipedia. Just gets better over time.'
840780746868441088,2017-03-12 04:25:25,b'@JMMZHerrera Answer is complex for electric motors. We use an AC induction motor fed by a DC pack thru an IGBT inve\xe2\x80\xa6 https://t.co/uKsjIDZPAq'
840774191049658372,2017-03-12 03:59:22,b'@williamwinters High voltage DC is for sure the best way to transmit electricity over long distances. Good explanat\xe2\x80\xa6 https://t.co/Ucz8O3Tfm1'
840772319526113280,2017-03-12 03:51:56,"b'Ironically, direct current is the right approach today, even though alternating was right in the past. Solar power &amp; electronics both DC.'"
840770270776315904,2017-03-12 03:43:47,"b""You're most welcome. Very exciting to discuss the future of electricity. Renewables + storage arguably biggest disr\xe2\x80\xa6 https://t.co/czUfwZkgJE"""
840410357122314240,2017-03-11 03:53:37,"b'@mcannonbrookes Just spoke with @JayWeatherill, Premier of South Australia. Very impressed. Govt is clearly committ\xe2\x80\xa6 https://t.co/JNOCwKVMxY'"
840101692087582720,2017-03-10 07:27:06,"b'@shails Yes, but shipping, taxes/tariffs and installation labor vary by country, as those costs are beyond our control'"
840096176678420481,2017-03-10 07:05:11,b'@mcannonbrookes $250/kWh at the pack level for 100MWh+ systems. Tesla is moving to fixed and open pricing and terms for all products.'
840032197637685249,2017-03-10 02:50:57,b'@mcannonbrookes Tesla will get the system installed and working 100 days from contract signature or it is free. That serious enough for you?'
838569247555014656,2017-03-06 01:57:43,b'@Zedd Will send you one'
838565081306677249,2017-03-06 01:41:09,b'@SimonaKitzu Self-hatred'
838563502386118656,2017-03-06 01:34:53,b'Thanks JJ!'
838558471972741120,2017-03-06 01:14:54,b'https://t.co/3YSXZq1EVj'
838555180656295936,2017-03-06 01:01:49,b'RT @TeslaMotors: Project Loveday https://t.co/K1snXJN15u'
837113202030759937,2017-03-02 01:31:54,"b""Thank you for the lovely letter. That sounds like a great idea. We'll do it! https://t.co/ss2WmkOGyk"""
